Customer,URL,State,Country - Canada,Partners,Industry,ERP,CLEAN_Update,Update Ring,Products,Platform,Canada,DataType,Data Provider,Options (Add-ons),Data Enhancement Services,CLEAN_Data Portal Transactions,Notes
Florida Gateway College,fgc.edu,FL,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Florida Gulf Coast University,fgcu.edu,FL,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Florida Institute of Technology,fit.edu,FL,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Florida International University,fiu.edu,FL,,,Higher Education,PeopleSoft,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Florida SouthWestern State College,fsw.edu,FL,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Florida State College at Jacksonville,fscj.edu,FL,,,Higher Education,PeopleSoft,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
FootHill-De Anza Community College District,fhda.edu,CA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Fordham University,fordham.edu,NY,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Forsyth Technical Community College,forsythtech.edu,NC,,,Higher Education,Colleague,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Fort Lewis College,fortlewis.edu,CO,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Fort Valley State University,fvsu.edu,GA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,"NCOA - Prepaid,MCOA - Prepaid,Phone - Prepaid,Email - Prepaid",,
Fox Valley Technical College,fvtc.edu,WI,,,Higher Education,PeopleSoft,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Framingham State University,framingham.edu,MA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Franklin & Marshall College,fandm.edu,PA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Friends University,friends.edu,KS,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Garda World,garda.com,QC,Canada,MDATA,Services,JD Edwards,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Gates Corporation,gates.com,CO,,,Manufacturing,E-Business Suite,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Generation Brands,generation-brands.com,IL,,,Electric & Gas,JD Edwards,Windows 64-bit,Monthly,"CLEAN_Address - USPS,CLEAN_Address - CAN",Windows,Canada - Win,DPV,Data Provider: Melissa,RBDI,,,
Genesee Community College,genesee.edu,NY,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
George Brown College,georgebrown.ca,ON,Canada,,Higher Education,Banner,Linux 64-bit,Monthly,"CLEAN_Address - USPS,CLEAN_Address - CAN",Linux,Canada - Unix,NO DPV,Data Provider: Melissa,RBDI,"NCOA - Prepaid,Phone - Prepaid,Email - Prepaid,CCOA - Prepaid",,
George Mason University,gmu.edu,VA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,,,,Data Provider: Melissa,,,,
George Mason University - Admissions,gmu.edu,VA,,,Higher Education,Banner,,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
George Mason University - Advance Web,gmu.edu,VA,,,Higher Education,Advance,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
George Mason University - Banner,gmu.edu,VA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
George Mason University - Office of Sponsored Programs (OSP),gmu.edu,VA,,,Higher Education,Banner,,,CLEAN_Address - USPS,Solaris,,DPV,Data Provider: Melissa,,,,
George Washington University,gwmenslax.com,VA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Georgia Department of Corrections,gdc.ga.gov ,GA,,,Public Administration,,Linux 64-bit,,CLEAN_Address - USPS,"Windows, Linux",,DPV,Data Provider: Melissa,,,,
Georgia Gwinnett College,ggc.edu,GA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Georgia Highlands College,highlands.edu,GA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Georgia Southern University,georgiasouthern.edu,GA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Georgia Student Finance Commission,gsfc.org,GA,,,Finance & Banking,,,,DES,,,,,,"CLEAN_File Append,NCOA - Prepaid",,
Gesa Credit Union,gesa.com,WA,,ASCEN,Credit Union,Credit Union,Windows 64-bit,Monthly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Gift Services,giftservices.com,WA,,,Retail Trade,,Linux 64-bit,"Quarterly,Monthly","CLEAN_Address - USPS,CLEAN_Address - CAN",Linux,Canada - Unix,DPV,Data Provider: Melissa,"GeoCoder,Canada GeoCoding",,,
Gonzaga University,gonzaga.edu,WA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Gordon State College,gordonstate.edu,GA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Government of Yukon,gov.yk.ca,YT,Canada,,Government,,,,Orbit,,,,,,,,
Governors State University,govst.edu,IL,,,Higher Education,,,,DES,,,,Data Provider: Melissa,,"EDQ Connect DES - PCOA Prepaid,EDQ Connect DES - Email Prepaid",,
Grand Valley State University,gvsu.edu,MI,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,NCOA - Prepaid,,
Granite State College,granite.edu,NH,,,Higher Education,Banner,"Linux 64-bit,Windows 64-bit",,CLEAN_Address - USPS,"Linux, Windows",,DPV,Data Provider: Melissa,,,,
Greenville Technical College,gvltec.edu,SC,,,Higher Education,Colleague,,,CLEAN_Address - USPS,Solaris,,DPV,Data Provider: Melissa,,,,
Gulf Coast State College,gulfcoast.edu,FL,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,CLEAN_Entry,,,
Hampshire College,hampshire.edu,MA,,,Higher Education,Colleague,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,,,
Harding University,harding.edu,AR,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Harford Community College,harford.edu,MD,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Harper College,harpercollege.edu,IL,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,NCOA - Prepaid,,
Harrisburg Area Community College,hacc.edu,PA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Hawaii Pacific University,hpu.edu,HI,,,Higher Education,"Banner, Salesforce",Linux 64-bit,,"CLEAN_Address - USPS,Salesforce - US & CAN",Linux,,DPV,Data Provider: Melissa,"Melissa Global,Salesforce US/CAN Transacations",NCOA - Prepaid,,
Heartland Community College,heartland.edu,IL,,,Higher Education,PeopleSoft,,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Hiram College,hiram.edu,OH,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,NCOA - Prepaid,,
Hudson Valley Community College,hvcc.edu,NY,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Humber College,humber.ca,ON,Canada,,Higher Education,Banner,Linux 64-bit,Monthly,"CLEAN_Address - USPS,CLEAN_Address - CAN",Linux,Canada - Unix,NO DPV,Data Provider: Melissa,AddressDoctor International,,,
Idaho State University,isu.edu,ID,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,Mailers+4,,,
Illinois Central College,icc.edu,IL,,,Higher Education,PeopleSoft,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Illinois Institute of Technology,iit.edu,IL,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,,,
Illinois State University,illinoisstate.edu,IL,,,Higher Education,PeopleSoft,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,GeoPoints,,,
Impact Investments,,FL,,,Finance & Banking,,,,,,,,Data Provider: Melissa,,Demographic Data Append - Prepaid,,
Indian Hills Community College,indianhills.edu,IA,,,Higher Education,Colleague,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,AddressDoctor International,NCOA - Prepaid,,
Indiana State University,indstate.edu,IN,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Indiana University,iu.edu,IN,,,Higher Education,PeopleSoft,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,"AddressDoctor International,CLEAN_Entry",,,
Industrial Scientific,indsci.com,PA,,,Manufacturing,"E-Business Suite, EDI, iStore, Salesforce",Linux 64-bit,,"CLEAN_Address - USPS,Salesforce - US & CAN",Linux,,DPV,Data Provider: Melissa,"AddressDoctor International,Salesforce International Transactions,Salesforce US/CAN Transacations",,,
"Intrado Life & Safety, Inc.",intrado.com,CO,,,Communications,,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Ivy Tech Community College,ivytech.edu,IN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Jackson State Community College,jscc.edu,TN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Jackson State University,jsums.edu,MS,,,Higher Education,,,,DES,,,,,,"CLEAN_File Append,NCOA - Prepaid,Phone - Prepaid,Email - Prepaid,Deceased - Prepaid",,
Jacksonville State University,jsu.edu,AL,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,CLEAN_Entry,,,
Jamestown Community College,sunyjcc.edu,NY,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Jefferson Community College,sunyjefferson.edu,NY,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Johns Hopkins University,jhu.edu,MD,,,Higher Education,,Linux 64-bit,"Quarterly,Monthly","CLEAN_Address - USPS,CLEAN_Address - CAN",Linux,Canada - Unix,DPV,Data Provider: Melissa,Demographic,NCOA - Prepaid,,
Johnson & Wales University,jnj.com,RI,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Johnson County Community College,jccc.edu,KS,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,"NCOA - Prepaid,MCOA - Prepaid",,
Johnston Community College,johnstoncc.edu,NC,,,Higher Education,Colleague,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Juniata College,juniata.edu,PA,,,Higher Education,Colleague,,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,NCOA - Prepaid,,
K&L Gates,kayak.com,PA,,,Services,PeopleSoft,,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Kansas University Endowment,kuendowment.org,KS,,,Higher Education,Advance,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
KCERA,kcera.org ,CA,,,Government,,,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Keene State College,keene.edu,NH,,,Higher Education,Colleague,"Linux 64-bit,Windows 64-bit",,CLEAN_Address - USPS,"Linux, Windows",,DPV,Data Provider: Melissa,,,,
Kennesaw State University,kennesaw.edu,GA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Kentucky State University,kysu.edu,KY,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Kettering University,kettering.edu,MI,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Kutztown University,kutztown.edu,PA,,,Higher Education,PeopleSoft,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Kwantlen Polytechnic University,kpu.ca,BC,Canada,,Higher Education,Banner,Windows 64-bit,Monthly,CLEAN_Address - CAN,Windows,Canada - Win,NO DPV,Data Provider: Melissa,,,,
LA Care Health Plan,lacare.org,CA,,MDATA,Healthcare,Oracle,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,"COM License Key from Melissa,SuiteFinder",,,
La Salle University,lasalle.edu,PA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Lake Michigan College,lakemichigancollege.edu,MI,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Lake Sumter State College,lssc.edu,FL,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Lake Trust Credit Union,laketrust.org,WA,,ASCEN,Credit Union,Credit Union,,Monthly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Lakeshore Technical College,gotoltc.edu,WI,,,Higher Education,PeopleSoft,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,"RBDI,Demographic",NCOA - Prepaid,,"Shared PeopleSoft Instance with Lakeshore Technical College, Mid-State Technical College, Wisconsin Indianhead Technical College....at Central Data Center at Lakeshore Technical College.  "
Lamar University,lamar.edu,TX,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,"NCOA - Prepaid,MCOA - Prepaid,Email - Prepaid,Phone - Prepaid",,
Lane Community College,lanecc.edu,OR,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,"Linux, Windows",,DPV,Data Provider: Melissa,,,,
Lansing Community College,lcc.edu,MI,,,Higher Education,Banner,Linux 64-bit,Monthly,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Lehigh Carbon Community College,lccc.edu,PA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA,,
Lehigh University,lehigh.edu,PA,,,Higher Education,Banner,Linux 64-bit,Monthly,"CLEAN_Address - USPS,CLEAN_Address - CAN",Linux,Canada - Unix,DPV,Data Provider: Melissa,,NCOA - Prepaid,,Reference
Lewis University,lewisu.edu,IL,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Liberty University,liberty.edu,VA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
LifeSouth,lifesouth.org,FL,,,Healthcare,,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Linn-Benton Community College,linnbenton.edu,OR,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Lock Haven University,lockhaven.edu,PA,,,Higher Education,Banner,,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,CLEAN_Entry,,,"Bloomsburg U, Lock Haven U, Mansfield U are collectively under Commonwealth, but are to be treated as individual licenses."
Loma Linda University,llu.edu,CA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,"Windows, Linux",,DPV,Data Provider: Melissa,AddressDoctor International,,,
Los Angeles County Probation Department,probation.lacounty.gov,CA,,,Public Administration,,,,CLEAN_Address - USPS,AIX,,DPV,Data Provider: Melissa,,,,
Louisiana Community & Technical College System,lctcs.edu,LA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Loyola Marymount University,lmu.edu,CA,,,Higher Education,"Banner, Advance",Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Loyola University Chicago,luc.edu,IL,,,Higher Education,PeopleSoft,Windows 64-bit,"Monthly,Quarterly",CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,GeoCoder,,,
LSU Health Sciences Center,lsuhsc.edu,LA,,,Higher Education,PeopleSoft,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Macalester College,macalester.edu,MN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,Reference
Madison Area Technical College,matcmadison.edu,WI,,,Higher Education,PeopleSoft,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Manhattan College,manhattan.edu,NY,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,"NCOA - Prepaid,Phone - Prepaid,Email - Prepaid",,
Mansfield University,mansfield.edu,PA,,,Higher Education,Banner,,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,CLEAN_Entry,,,"Bloomsburg U, Lock Haven U, Mansfield U are collectively under Commonwealth, but are to be treated as individual licenses."
Marist College,marist.edu,NY,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Marshall University Foundation,marshall.edu,WV,,,Higher Education,Banner,Linux 64-bit,Quarterly,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,"Demographic,RBDI,AddressDoctor International",,,
Maryland Institute College of Art,mica.edu,MD,,,Higher Education,PeopleSoft,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Massachusetts College of Liberal Arts,mcla.edu,MA,,,Higher Education,"Banner, PeopleSoft",Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Massasoit Community College,massasoit.edu,MA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Maximus - CA,maximuscards.com,CA,,,Services,,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
McKesson Corporation #1,mckessoncorporation.com,AZ,,MDATA,Healthcare,,,,CLEAN_Address - USPS,Solaris,,DPV,Data Provider: Melissa,,,,
McKesson Medical-Surgical,McKesson.com,VA,,,Healthcare,PeopleSoft,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,RBDI,,,
McKinsey & Company,mckinsey.com,NY,,,Services,,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Medical College of Wisconsin,mcw.edu,WI,,,Higher Education,Banner,,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Members Cooperative Credit Union,membersccu.org,MN,,ASCEN,Credit Union,Credit Union,Windows 64-bit,Monthly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,GeoCoder,,,
Merced College,mccd.edu,CA,,,Higher Education,Colleague,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Mercy College,mercy.edu,NY,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,,,
Meridian Community College,meridiancc.edu,MS,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,NCOA - Prepaid,,
Meritrust Credit Union,meritrustcu.org,WA,,ASCEN,Credit Union,Credit Union,,Monthly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Miami Dade College,mdc.edu,FL,,,Higher Education,PeopleSoft,"Windows 64-bit,Linux 64-bit",,CLEAN_Address - USPS,"Linux, Windows",,DPV,Data Provider: Melissa,AddressDoctor International,,,
Miami University Ohio,miamioh.edu,OH,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Mid-State Technical College,mstc.edu,WI,,,Higher Education,PeopleSoft,,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,"RBDI,Demographic",NCOA - Prepaid,,"Shared PeopleSoft Instance with Lakeshore Technical College, Mid-State Technical College, Wisconsin Indianhead Technical College....at Central Data Center at Lakeshore Technical College.  "
Middle Tennessee State University,mtsu.edu,TN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Midway University,midway.edu,KY,,,Higher Education,Colleague,,,DES,,,,,,NCOA,,
Midwestern State University,mwsu.edu,TX,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Milgard Manufacturing,milgard.com,WA,,,Manufacturing,E-Business Suite,Linux 64-bit,"Quarterly,Monthly","CLEAN_Address - USPS,CLEAN_Address - CAN",Linux,Canada - Unix,DPV,Data Provider: Melissa,GeoCoder,,,
Millikin University,millikin.edu,IL,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Mississippi College,mc.edu,MS,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,NCOA,,
Mississippi Gulf Coast Community College,mgccc.edu,MS,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Mississippi State University Foundation,advservices.msstate.edu,MS,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Missouri Southern State University,mssu.edu,MO,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Missouri State University,missouristate.edu,MO,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Montana State University - Bozeman,montana.edu,MT,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Montclair State University,montclair.edu,NJ,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Moody Bible Institute,moody.edu,IL,,,Higher Education,PeopleSoft,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Moraine Park Technical College,morainepark.edu,WI,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Motlow State Community College,mscc.edu,TN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Mount Royal University,mtroyal.ca,AB,Canada,,Higher Education,Banner,Linux 64-bit,Monthly,CLEAN_Address - CAN,Linux,Canada - Unix,NO DPV,Data Provider: Melissa,,,,
Mount Wachusett Community College,mwcc.edu,MA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Mt San Antonio College,MtSAC.edu,CA,,,Higher Education,Banner,,,CLEAN_Address - USPS,AIX,,DPV,Data Provider: Melissa,,,,
Nashville State Community College,nscc.edu,TN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,"NCOA - Prepaid,MCOA - Prepaid,Phone - Prepaid,Email - Prepaid",,
Nassau Community College,ncc.edu,NY,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,,,
National Education Association (NEA),nea.org,DC,,,Higher Education,"Banner, Salesforce",Windows 64-bit,,"CLEAN_Address - USPS,Salesforce - US & CAN",Windows,,DPV,Data Provider: Melissa,Salesforce US/CAN Transacations,,,
National-Louis University,nl.edu,IL,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Nazareth College,naz.edu,NY,,,Higher Education,Colleague,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,NCOA,,
"NCCI Holdings, Inc.",ncci.com,FL,,,Finance & Banking,,Linux 64-bit,"Quarterly,Monthly","CLEAN_Address - USPS,CLEAN_Address - CAN",Linux,Canada - Unix,DPV,Data Provider: Melissa,Demographic,,,
New Jersey City University ,njcu.edu,NJ,,,Higher Education,PeopleSoft,Windows 64-bit,Monthly,"DES,CLEAN_Address - USPS,CLEAN_Address - CAN",Windows,Canada - Win,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
New Jersey Institute of Technology,njit.edu,NJ,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,,,
New Jersey State Parole Board,spb.nj.gov,NJ,,,Public Administration,,Windows 64-bit,Quarterly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,"GeoCoder,GeoPoints",,,
New Mexico Tech,nmt.edu,NM,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,,,
New York Institute of Technology,nyit.edu,NY,,,Higher Education,PeopleSoft,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Niagara County Community College,niagaracc.suny.edu,NY,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
North Carolina A&T State University,ncat.edu,NC,,,Higher Education,"PeopleSoft, Banner",Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
North Carolina Central University,nccu.edu,NC,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
North Idaho College,NIC.EDU,ID,,,Higher Education,Colleague,,,CLEAN_Address - USPS,AIX,,DPV,Data Provider: Melissa,,,,
